"Title","ID","Created Date","Updated Date","Owner","Image of Amenities","Title of Amenities","Description of Amenities","Amenities (Item)"
"Excursions","84007d2c-36df-4c39-ba6d-c1763f8e2f0d",2025-01-28T15:27:44Z,2025-02-16T13:33:14Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_f3e9dfbefa1445f6a288f024f9b10365~mv2.jpg/Friends%20Camping.jpg#originWidth=2880&originHeight=1920","<h2 class=""font_2"">Top Treatment Centers For Excursions</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/excursions"
"View","84717613-6e03-4b72-9cb0-e56719bc6286",2025-02-19T22:51:35Z,2025-02-19T22:54:26Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers For View</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/view"
"Physical Therapy Center","85e2a758-7f15-4d24-a57e-82f583117468",2025-01-28T15:28:12Z,2025-02-16T13:32:56Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/a6bca24f25434fd5a3eafeb13bb32b57.jpg/Physiotherapy.jpg#originWidth=7706&originHeight=3840","<h2 class=""font_2"">Top Treatment Centers For Physical Therapy Center</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/physical-therapy-center"
"Recreation Room","8d9d63fb-3d89-41ec-b529-985cc23c764f",2025-02-19T21:06:00Z,2025-02-19T21:09:22Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers For Recreation Room</h2>","<p class=""font_7"">Check out our handpicked selection of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/recreation-room"
"Walking Trails","918ae0d3-da42-4024-968e-45bc77243a0d",2025-02-19T22:51:48Z,2025-04-05T14:55:44Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_6ca4b684c8c54361a19a53e95e7ab2be~mv2.jpg/Walking%20Club.jpg#originWidth=5000&originHeight=3333","<h2 class=""font_2"">Top Treatment Centers For Walking Trails</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/walking-trails"
"Luxury","94878885-82f2-4af8-9955-39d51506ac1f",2025-01-28T15:28:03Z,2025-02-16T13:32:59Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_5e94eb7bacf74bb49e4349b4688f0ee6~mv2.jpg/Luxurious%20Hotel%20Room.jpg#originWidth=1920&originHeight=1080","<h2 class=""font_2"">Top Treatment Centers For Luxury</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/luxury"
"Outdoor Dining","975bc701-5e1d-4a9e-afb9-42edc71c1b48",2025-02-19T21:04:42Z,2025-02-19T21:09:22Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers For Outdoor Dining</h2>","<p class=""font_7"">Check out our handpicked selection of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/outdoor-dining-"
"Basketball Court","9837024b-27de-401d-a45b-ad4c774a6da6",2025-04-05T13:05:43Z,2025-04-05T13:06:48Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_268aa1f4d0b6455d8bba30573d61a88b~mv2.jpg/Basketball%20Game.jpg#originWidth=5000&originHeight=3337","<h2 class=""font_2"">Top Treatment Centers For Basketball Court</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/basketball-court"
"Volleyball Court","a1527e2b-a095-4b02-b741-3edb5375a699",2025-04-05T14:54:09Z,2025-04-05T14:55:01Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/0d6f342d60104bf7b57b559fe6c8a8b5.jpg/Above%20the%20Net.jpg#originWidth=5760&originHeight=3840","<h2 class=""font_2"">Top Treatment Centers For Volleyball Court</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/volleyball-court"
"Beach Access","a311fd3e-f694-4f33-bbd6-7a97efe0159f",2025-02-19T22:48:48Z,2025-02-19T22:49:20Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers For Beach Access</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/beach-access"
"Tennis Court","a6bee72c-6dc8-40da-86f0-c2bac0bdcb73",2025-04-06T12:22:00Z,2025-04-06T12:22:58Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/8b259b315d7b4ec7b56b226d782bcb8e.jpg/Tennis%20Racket.jpg#originWidth=5616&originHeight=3744","<h2 class=""font_2"">Top Treatment Centers For Tennis Court</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/tennis-court"
"Chef-prepared Meals","b7e5dd8d-c923-4cfe-b063-715d85a8cb91",2025-02-19T21:04:37Z,2025-02-19T21:09:22Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers For Chef-prepared Meals</h2>","<p class=""font_7"">Check out our handpicked selection of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/chef-prepared-meals"
"Fitness Center","c58bc232-7c7e-4087-8ec1-6134759bb9b4",2025-02-19T21:03:36Z,2025-02-19T21:09:22Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers For Fitness Center</h2>","<p class=""font_7"">Check out our handpicked selection of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/fitness-center"
"Airport Transfers","d2d484aa-09de-40ea-becd-64bf6ae3363d",2025-02-19T22:49:39Z,2025-02-19T22:49:58Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers For Airport Transfers</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/airport-transfers"
"Sauna","d8b3e5f3-cfc0-4ff7-b252-9306162bed53",2025-04-06T14:01:36Z,2025-04-06T14:02:55Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_0ef54f90c28643cd9a70eb8620ba4980~mv2.jpeg/Modern%20Wooden%20Sauna.jpeg#originWidth=4368&originHeight=2912","<h2 class=""font_2"">Top Treatment Centers For Sauna</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/sauna"
"Jacuzzi","da0230fb-2fb6-4e9a-88b5-ae2c504374ad",2025-02-19T22:51:02Z,2025-02-19T22:54:26Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers For Jacuzzi</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/jacuzzi"
"Outdoor Lounge","e5407e7a-08f8-4b23-af8f-c77e85277d1d",2025-04-05T14:56:19Z,2025-04-05T14:57:14Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/b7251a42504b40b4a375b59b731ba874.jpg/Outdoor%20String%20Lights.jpg#originWidth=6016&originHeight=4016","<h2 class=""font_2"">Top Treatment Centers For Outdoor Lounge</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/outdoor-lounge"
"Housekeeping","ede6d273-f524-4fcd-8916-54929fbbb901",2025-02-19T22:50:27Z,2025-02-19T22:54:26Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers For Housekeeping</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/housekeeping"
"Gourmet Dining","ef3f4fdf-d3fa-4187-a346-392e221959f6",2025-02-19T21:03:50Z,2025-02-19T21:09:22Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers For Gourmet Dining</h2>","<p class=""font_7"">Check out our handpicked selection of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/gourmet-dining"
"Allow Cell Phones","f24b16d3-e675-47f5-aed3-f5e332193f3f",2025-01-28T15:27:28Z,2025-02-16T13:33:21Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/2c4727b1f5d84b17b7950bce976f82ea.jpg/Home%20Electronics.jpg#originWidth=3840&originHeight=2160","<h2 class=""font_2"">Top Treatment Centers For Allow Cell Phones</h2>","<p class=""font_7"">Check out our handpicked selection of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/allow-cell-phones"
"TV","fb1e3757-3650-4e32-bc83-cee543b79fc9",2025-04-06T21:29:27Z,2025-04-06T21:30:32Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/368a19a61b2949aabbc65171a17c1b35.jpg/Home%20Theater%20Room.jpg#originWidth=4267&originHeight=3200","<h2 class=""font_2"">Top Treatment Centers For TV</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/tv"
"Hot Tub","fd6b1b9d-4a31-4263-b4f9-283f59a2b5e7",2025-02-19T21:04:02Z,2025-02-19T21:09:22Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<p class=""font_8"">Top Treatment Centers For Hot Tub</p>","<p class=""font_7"">Check out our handpicked selection of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/hot-tub"
