"Activities","ID","Created Date","Updated Date","Owner","Image Of Activities","Title Of Activities","Description Of Activities","Activities (Item)"
"Gaming","57afc04c-3fc2-4a1e-8640-dba4864e7cf3",2025-02-19T20:57:06Z,2025-02-19T20:59:23Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_68b9102c47804377b09142aec838cc03~mv2.jpeg/Father%20&%20Son%20Gaming.jpeg#originWidth=5446&originHeight=3560","<h2 class=""font_2"">Top Treatment Centers for Gaming</h2>","<p class=""font_8"">Check out our Activities selected list of centers offering treatment for Golf, Hiking, Massage, and more.</p>","/activities/gaming"
"Beach Fitness","59ed8491-b3ad-4a9a-bb6f-00e8742953a0",2025-04-06T22:30:20Z,2025-04-06T22:30:54Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/820ab52f904f4dc59721604810c2ee0e.jpg/Beach%20Run.jpg#originWidth=5200&originHeight=3467","<h2 class=""font_2"">Top Treatment Centers for Beach Fitness</h2>","<p class=""font_7"">Check out our Activities selected list of centers offering treatment for Golf, Hiking, Massage, and more.</p>","/activities/beach-fitness"
"Movies","6b5db3f7-712f-45a9-bb1b-e5509b795572",2025-04-05T12:37:42Z,2025-04-05T13:00:50Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_a06797236ab54679b36132c3628e6274~mv2.jpeg/Film%20show.jpeg#originWidth=5758&originHeight=3844","<h2 class=""font_2"">Top Treatment Centers for Movies</h2>","<p class=""font_7"">Check out our Activities selected list of centers offering treatment for Golf, Hiking, Massage, and more.</p>","/activities/movies"
"Physical Fitness","754e9eaa-2b7e-4ae5-b0b5-99408887e2a9",2025-04-05T14:49:24Z,2025-04-05T14:50:20Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/9ae1343e2a3f42b8ba034f551163fa22.jpg/Young%20Woman%20in%20the%20Gym.jpg#originWidth=2924&originHeight=1949","<h2 class=""font_2"">Top Treatment Centers for Physical Fitness</h2>","<p class=""font_7"">Check out our Activities selected list of centers offering treatment for Golf, Hiking, Massage, and more.</p>","/activities/physical-fitness"
"Hiking","76fec38d-ca39-4dd4-ac5b-cce3d609001a",2025-01-28T15:40:41Z,2025-02-11T12:05:57Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_78a588e6b38e40de895099b5935fa968~mv2.jpeg/Hiking.jpeg#originWidth=7500&originHeight=5000","<h2 class=""font_2"">Top Treatment Centers for Hiking</h2>","<p class=""font_7"">Check out our Activities selected list of centers offering treatment for Golf, Hiking, Massage, and more.</p>","/activities/hiking"
"Yoga","7a6d15fc-a3a2-4b3d-baf4-4f56367ca43c",2025-01-28T15:41:28Z,2025-02-11T12:06:11Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_8ab2fbd259fd491fa4ac543b4682127d~mv2.jpg/Yoga%20Class.jpg#originWidth=5000&originHeight=3337","<h2 class=""font_2"">Top Treatment Centers for Yoga</h2>","<p class=""font_7"">Check out our Activities selected list of centers offering treatment for Golf, Hiking, Massage, and more.</p>","/activities/yoga"
"Boxing","d02debc1-353f-45cf-91e3-6e20511b94a8",2025-04-06T22:29:27Z,2025-04-06T22:30:05Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_ed2221b01bd94c5aa43fd2a0f8f842fc~mv2.jpg/Outdoor%20Training.jpg#originWidth=7360&originHeight=4912","<h2 class=""font_2"">Top Treatment Centers for Boxing</h2>","<p class=""font_7"">Check out our Activities selected list of centers offering treatment for Golf, Hiking, Massage, and more.</p>","/activities/boxing"
"Farming, Gardening","d9f5f475-e737-4374-8a62-6159261c2260",2025-04-05T14:47:23Z,2025-04-05T14:48:19Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/fb4519884db342dc89657d34449b36ce.jpg/Community%20gardening%20activity.jpg#originWidth=5760&originHeight=3840","<h2 class=""font_2"">Top Treatment Centers for Farming, Gardening</h2>","<p class=""font_7"">Check out our Activities selected list of centers offering treatment for Golf, Hiking, Massage, and more.</p>","/activities/farming%2C-gardening"
"Volleyball","e5519392-f781-4cf2-b162-3d3638fe150d",2025-04-05T14:48:31Z,2025-04-05T14:49:13Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/f689c7bbd16646499ac882ee2af6b005.jpg/Volleyball.jpg#originWidth=5674&originHeight=3787","<h2 class=""font_2"">Top Treatment Centers for Volleyball</h2>","<p class=""font_7"">Check out our Activities selected list of centers offering treatment for Golf, Hiking, Massage, and more.</p>","/activities/volleyball"
"Alternative Meetings","e90a8e11-1643-401c-b054-11ecc8efef1b",2025-04-06T22:32:34Z,2025-04-06T22:33:49Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/9dc9c0_e82cbad57a0444bbac28a42a3b434aac~mv2.png/image.png#originWidth=925&originHeight=616","<h2 class=""font_2"">Top Treatment Centers for &nbsp;Alternative Meetings</h2>","<p class=""font_7"">Check out our Activities selected list of centers offering treatment for Golf, Hiking, Massage, and more.</p>","/activities/alternative-meetings"
"Cooking Classes","ffcf833f-0aa7-4e50-8a42-a018856ee9e7",2025-04-05T12:31:51Z,2025-04-05T12:37:40Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_7297b4dadebc44b399c0fd8b55978723~mv2.jpeg/Cooking.jpeg#originWidth=5048&originHeight=3367","<h2 class=""font_2"">Top Treatment Centers for Cooking Classes</h2>","<p class=""font_7"">Check out our Activities selected list of centers offering treatment for Golf, Hiking, Massage, and more.</p>","/activities/cooking-classes"
