"Condition","ID","Created Date","Updated Date","Owner","Image","Title of condition","Description of conditions","Condition (Item)"
"Narcissism","751c1e7a-222e-4c03-b60a-ce21d5c88a8f",2025-01-20T12:13:12Z,2025-02-11T14:22:14Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_ab8dacd5327842979e4008859a62cbf0~mv2.jpeg/Consultation.jpeg#originWidth=5695&originHeight=3796","<h1 class=""font_0"">Top Treatment Centers for Narcissism</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/narcissism"
"Stress","814b6e9a-9e54-44dd-be07-b9c799b1d0fd",2025-01-20T12:47:37Z,2025-02-11T14:11:46Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/f4a2eb10b3154a8a8c1bcda2e37e94c0.jpg/Stressed%20Woman.jpg#originWidth=7111&originHeight=4259","<h1 class=""font_0"">Top Treatment Centers for Stress</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/stress"
"Anger","853eec26-b8e3-45e0-9225-1f143ff7f90a",2025-01-20T12:03:35Z,2025-02-11T14:39:37Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h1 class=""font_0"">Top Treatment Centers for Anger</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/anger"
"Sex Addiction","8881d5ae-e6b9-4a5d-a4f1-561d9c57ffc3",2025-01-20T12:46:42Z,2025-02-11T14:13:47Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_91c68fe6b7964e16a7e1aa9a22f5ab5b~mv2.jpg/Thinking%20Man.jpg#originWidth=6000&originHeight=4000","<h1 class=""font_0"">Top Treatment Centers for Sex Addiction</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/sex-addiction"
"Grief and Loss","89bb3978-47c3-4d6e-bd26-93b0c633536c",2025-01-20T12:11:47Z,2025-02-11T14:24:50Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_3a072f2112504311bf13102232fa7fe5~mv2.jpg/Group%20Therapy%20Session.jpg#originWidth=5000&originHeight=3191","<h1 class=""font_0"">Top Treatment Centers for Grief and Loss</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/grief-and-loss"
"Burnout","8a31b7ff-3096-4fb2-9b88-9997615dae19",2025-01-20T12:05:51Z,2025-02-11T14:32:43Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_cf764d97e8ac45b2aea80ee09fb87aca~mv2.jpeg/Therapy.jpeg#originWidth=5079&originHeight=3014","<h1 class=""font_0"">Top Treatment Centers for Burnout</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/burnout"
"Gaming","91096e35-044c-439d-a453-19fb71daea31",2025-01-20T12:10:44Z,2025-02-11T14:26:04Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_5a0be1f234054070a89be0c04490e985~mv2.jpeg/Gaming%20Time.jpeg#originWidth=5326&originHeight=3551","<h1 class=""font_0"">Top Treatment Centers for Video Game Addiction</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/gaming"
"Bipolar","94180c51-ed0e-48cf-8f2d-06c6d0e38f1a",2025-01-20T12:05:08Z,2025-02-11T14:34:34Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_e0e488fa69824c65a6209d6bbf8aff7e~mv2.jpeg/Psychology%20Session.jpeg#originWidth=4200&originHeight=2800","<h1 class=""font_0"">Top Treatment Centers for Bipolar</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/bipolar"
"Self-Harm","95be6101-4596-4559-9702-d390da9984e8",2025-01-20T12:46:00Z,2025-02-11T14:14:42Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_938d4c49eaa04cd5ac225719e9d98bb4~mv2.jpeg/Supportive%20Friend.jpeg#originWidth=5760&originHeight=3840","<h1 class=""font_0"">Top Treatment Centers for Self-Harm</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/self-harm"
"Eating Disorder","cfef3622-76ec-4fbf-92c9-4c98a5a0e27f",2025-01-20T12:08:35Z,2025-02-11T14:28:37Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/c56371ca8282418b82c7959b05e050a9.jpg/Burger%20Shot.jpg#originWidth=6000&originHeight=4000","<h1 class=""font_0"">Top Treatment Centers for Eating Disorder</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/eating-disorder"
"Obsessive Compulsive Disorder (OCD)","d4e5210d-e20e-4019-9874-06fae5f5c3b0",2025-01-20T12:42:28Z,2025-02-11T14:20:29Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_952fde95e5bf4cec90f94e7feb980a54~mv2.jpg/Taking%20a%20Break.jpg#originWidth=4839&originHeight=3226","<h1 class=""font_0"">Top Treatment Centers for <a href=""https://recovery.com/condition/neurodiversity/"">Neurodiversity</a> Obsessive Compulsive Disorder (OCD)</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/obsessive-compulsive-disorder-(ocd)"
"Codependency","de5120ca-f06c-4996-8552-47cf592bd4c9",2025-01-20T12:07:17Z,2025-02-11T14:30:02Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/23c6ed3f5e614c09b28a14d774acf206.jpg/Thinking%20Man%20on%20Couch.jpg#originWidth=5004&originHeight=3264","<h1 class=""font_0"">Top Treatment Centers for Codependency</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/codependency"
"Gambling","e9af561d-5450-4c76-813a-1fb93f4625fa",2025-01-20T12:09:57Z,2025-02-11T14:27:21Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/b1710430ebff44b59290e04b2eddf0e1.jpg/Casino.jpg#originWidth=1224&originHeight=809","<h1 class=""font_0"">Top Treatment Centers for Gambling</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/gambling"
